Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;Param: expectedElementsCount
com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;678,451041;38,707311;us/op;5000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;1329,872359;272,739883;us/op;10000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;3380,358736;625,764155;us/op;25000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;6591,664888;358,202085;us/op;50000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkAddOperation;avgt;1;5;13017,84049;579,993241;us/op;100000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting;avgt;1;5;0,042007;0,002711;us/op;10
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting;avgt;1;5;0,090945;0,000926;us/op;25
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting;avgt;1;5;0,182;0,024312;us/op;50
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting;avgt;1;5;0,371297;0,056361;us/op;100
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting;avgt;1;5;14,357617;2,56197;us/op;1000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting;avgt;1;5;29,399789;2,995428;us/op;2000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting;avgt;1;5;60,562243;71,579544;us/op;5000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting;avgt;1;5;95,196042;8,648359;us/op;10000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting;avgt;1;5;249,685804;13,285829;us/op;25000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting;avgt;1;5;489,040123;54,697331;us/op;50000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsExisting;avgt;1;5;961,52811;147,575944;us/op;100000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting;avgt;1;5;0,042783;0,001217;us/op;10
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting;avgt;1;5;0,093138;0,002191;us/op;25
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting;avgt;1;5;0,17995;0,006483;us/op;50
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting;avgt;1;5;1,35988;0,050043;us/op;100
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting;avgt;1;5;14,410303;0,30543;us/op;1000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting;avgt;1;5;27,002857;1,909246;us/op;2000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting;avgt;1;5;55,75759;41,264388;us/op;5000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting;avgt;1;5;93,071685;11,152174;us/op;10000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting;avgt;1;5;245,791864;11,30718;us/op;25000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting;avgt;1;5;490,699782;35,964649;us/op;50000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkContainsNonExisting;avgt;1;5;971,564002;36,265454;us/op;100000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage;avgt;1;5;217,999176;17,818655;us/op;10
com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage;avgt;1;5;250,814143;97,155134;us/op;25
com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage;avgt;1;5;246,523995;142,01584;us/op;50
