Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;Param: expectedElementsCount;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;31,68;116,399176;us/op;10;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;38,08;106,611877;us/op;25;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;126,36;661,480477;us/op;50;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;79,56;245,424349;us/op;100;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;294,3;370,072725;us/op;1000;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;342,36;546,36659;us/op;2000;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;560,42;444,477946;us/op;5000;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;792,28;1413,962412;us/op;10000;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;332,3;191,100014;us/op;25000;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;719,32;509,430543;us/op;50000;;;;;;;;;;;;;;;;;
com.algo.structure.BloomFilterBenchmark.benchmarkContainsNonExisting;ss;1;5;1283,64;447,797324;us/op;100000;;;;;;;;;;;;;;;;;
